Year,Week,Department,Product_ID,Product_Description,Brand,Product_Group,Sales_Cost,Units_Sold,Total_Sales
2025,13,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12608.6294980695,8,18458.91
2025,14,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1570.89285714286,1,2490.65
2025,14,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7854.4642857143,5,11582.06
2025,15,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7854.4642857143,5,11944.0
2025,16,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7854.4642857143,5,11702.7
2025,17,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,14138.0357142857,9,20630.55
2025,18,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4718.07841269842,3,6635.56
2025,19,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6294.37111111112,4,9410.42
2025,20,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1573.59277777778,1,2585.17
2025,20,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7867.9638888889,5,13063.43
2025,21,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4720.77833333334,3,7620.35
2025,22,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3147.18555555556,2,5307.02
2025,23,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,14459.3415,9,23541.41
2025,24,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9639.561,6,15376.77
2025,25,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8032.9675,5,13199.52
